subject,predicate,object
ex_comp:11,rdf:type,ex:Company
ex_comp:75,hasFNR,R1101_HRB79984
ex_addr:40,rdf:type,ex:Address
ex_addr:57,hasAddress,"Tiefer 15, 28195 Bremen"
ex_addr:80,hasPLZ,22337
ex_comp:48,hasFNR,K1101R_HRB5604
ex_addr:18,rdf:type,ex:Address
ex_comp:99,rdf:type,ex:Company
ex_addr:48,hasAddress,Ronsdorfer Str.
ex_addr:53,hasPLZ,40210
ex_addr:21,hasCity,Hamburg.
ex_comp:61,hasFNR,R1101_HRB36441
ex_addr:41,hasCity,Hamburg.
ex_comp:52,rdf:type,ex:Company
ex_empl:624,worksAt,ex_comp:74
ex_addr:42,hasAddress,"Spielbudenplatz 27-28, 20359 Hamburg."
ex_addr:87,hasPLZ,40212
ex_comp:25,hasName,Comfort Hamburg Gesellschaft für Geschäftsflächen und Unternehmensvermittlung mbH
ex_comp:19,rdf:type,ex:Company
ex_comp:99,hasAddress,ex_addr:89
ex_addr:13,hasCity,Hamburg.
ex_comp:42,hasAddress,ex_addr:40
ex_addr:37,hasCity,Hamburg.
ex_comp:91,hasFNR,H1101_H1101_HRB30009
ex_comp:72,hasAddress,ex_addr:65
ex_comp:63,hasAddress,ex_addr:58
ex_comp:88,hasName,VIERTE Fonds-Beteiligungsgesellschaft mbH
ex_comp:77,hasFNR,K1101R_HRB118781
ex_addr:83,rdf:type,ex:Address
ex_comp:61,hasName,Victoria Lebensversicherung Aktiengesellschaft
ex_comp:5,rdf:type,ex:Company
ex_comp:100,hasFNR,K1101R_HRB64651
ex_addr:6,hasCity,Düsseldorf.
ex_comp:93,hasName,Lampe Asset Management GmbH
ex_comp:60,hasFNR,K1101R_HRB124341
ex_comp:46,hasAddress,ex_addr:44
ex_addr:11,hasPLZ,40472
ex_comp:18,hasAddress,ex_addr:16
ex_comp:17,rdf:type,ex:Company
ex_addr:20,hasCity,Hamburg.
ex_addr:23,hasPLZ,20095
ex_addr:79,hasPLZ,40549
ex_addr:48,hasStreet,Ronsdorfer Str.
ex_comp:38,hasAddress,ex_addr:36
ex_comp:70,rdf:type,ex:Company
ex_comp:13,hasFNR,H1101_H1101_HRB33397
ex_comp:87,hasFNR,R1101_HRB27849
ex_addr:45,rdf:type,ex:Address
ex_comp:43,hasAddress,ex_addr:41
ex_comp:73,rdf:type,ex:Company
ex_addr:71,hasPLZ,22393
ex_comp:24,hasFNR,K1101R_HRB131125
ex_comp:67,hasAddress,ex_addr:62
ex_addr:24,rdf:type,ex:Address
ex_comp:80,hasAddress,ex_addr:72
ex_comp:49,hasFNR,K1101R_HRB141956
ex_comp:95,rdf:type,ex:Company
